Temp (K),Res (ohm)
4.56083419488970E-02,5.86878000000000E+04
4.78231016095905E-02,5.53902000000000E+04
5.17143640643128E-02,4.97132000000000E+04
5.65021218780469E-02,4.43419000000000E+04
6.40781235080844E-02,3.72896000000000E+04
7.39623752066497E-02,3.06962000000000E+04
8.36456887606564E-02,2.63961000000000E+04
9.60814463285928E-02,2.24526000000000E+04
1.11988616293193E-01,1.87406000000000E+04
1.27904011471637E-01,1.62281000000000E+04
1.45999859125252E-01,1.42262000000000E+04
1.61952555034731E-01,1.29199000000000E+04
1.81982452457963E-01,1.16414000000000E+04
2.03657544510144E-01,1.05819000000000E+04
2.30018366481353E-01,9.60450000000000E+03
2.59914910034027E-01,8.72920000000000E+03
2.90074628335335E-01,8.05740000000000E+03
3.09991040136725E-01,7.69460000000000E+03
3.30067108268974E-01,7.37760000000000E+03
3.67649015658087E-01,6.88080000000000E+03
4.18232750485854E-01,6.36510000000000E+03
4.76347776321643E-01,5.90689000000000E+03
5.34888539291380E-01,5.54901000000000E+03
6.09693008532965E-01,5.19330000000000E+03
6.85119406078157E-01,4.91284000000000E+03
7.64215258763157E-01,4.67886000000000E+03
8.54495159915036E-01,4.46146000000000E+03
9.50307538791266E-01,4.27508000000000E+03
1.05039167390283E+00,4.11619000000000E+03
1.15002791254212E+00,3.98472000000000E+03
1.19916651791136E+00,3.92678000000000E+03
1.30236764375106E+00,3.82054818211958E+03
1.39945671666755E+00,3.73285474991344E+03
1.60013608270480E+00,3.58225833157107E+03
1.80116515926455E+00,3.46351378083643E+03
2.00021991502095E+00,3.36715218509428E+03
2.19902899059951E+00,3.28725971733781E+03
2.39786595006171E+00,3.21894586903212E+03
2.60364460182160E+00,3.15827770834698E+03
2.80063843707285E+00,3.10756404792448E+03
3.00073820279889E+00,3.06199837795402E+03
3.20238353427129E+00,3.02139433718442E+03
3.40269172144085E+00,2.98552567420071E+03
3.60060615247981E+00,2.95323468866995E+03
3.80015652113460E+00,2.92351409323014E+03
3.99914887359597E+00,2.89670089832420E+03
4.20287828880268E+00,2.87141766906782E+03
4.66917731225991E+00,2.82063985039621E+03
5.08300644543525E+00,2.78170827598304E+03
5.59343096920151E+00,2.74150888289921E+03
6.31505563089787E+00,2.69301945677449E+03
7.14246713360909E+00,2.64775228076533E+03
8.18428300030272E+00,2.60081908931063E+03
9.22656535723120E+00,2.56217597956953E+03
1.02649933907599E+01,2.52936257606598E+03
1.12973605460319E+01,2.50131771192789E+03
1.23094316591456E+01,2.47699603870188E+03
1.33088687158638E+01,2.45536650058538E+03
1.42966533670485E+01,2.43651195705451E+03
1.52715891499109E+01,2.41929905450702E+03
1.62373865983176E+01,2.40372542172116E+03
1.72032618215380E+01,2.38934307543240E+03
1.81680306367856E+01,2.37614357415515E+03
1.91305172267195E+01,2.36387564549799E+03
2.00998975202485E+01,2.35263759333657E+03
2.11714560462270E+01,2.34083652367296E+03
2.27488611581905E+01,2.32484964919993E+03
2.43838141020563E+01,2.30990166295071E+03
2.60602457932966E+01,2.29595639942045E+03
2.77096128595019E+01,2.28352950565497E+03
2.93539556221876E+01,2.27205366608938E+03
3.11701027494542E+01,2.26039210265836E+03
3.32816658574130E+01,2.24800968237608E+03
3.62963550284809E+01,2.23208593857413E+03
3.93089301175097E+01,2.21797685072190E+03
4.23063850213504E+01,2.20534081774557E+03
4.53058672778264E+01,2.19400917002111E+03
3E+02,2.0091E+03
